epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8019.49,0.64316,0.68338,1.04482,0.91481,0.93325,0.9578,0.80037,0.6617,0.37402,1.04229,0.0006304,0.0006304,0.0006304
58,8160.07,0.62996,0.67912,1.05347,0.93732,0.9312,0.96549,0.79546,0.67666,0.38572,1.05269,0.0006238,0.0006238,0.0006238
59,8300.81,0.628,0.6604,1.04321,0.97007,0.90353,0.96374,0.80585,0.6447,0.36478,1.03283,0.0006172,0.0006172,0.0006172
60,8441.9,0.63143,0.65182,1.04516,0.94589,0.92611,0.96923,0.80375,0.6624,0.3729,1.05352,0.0006106,0.0006106,0.0006106
61,8582.43,0.63002,0.66446,1.04526,0.95007,0.91246,0.96518,0.80892,0.6393,0.36089,1.02509,0.000604,0.000604,0.000604
62,8723.37,0.62052,0.66718,1.04377,0.95081,0.93424,0.96605,0.80861,0.65722,0.3697,1.03155,0.0005974,0.0005974,0.0005974
63,8863.84,0.62228,0.64596,1.04257,0.96628,0.91451,0.96839,0.80876,0.64315,0.35519,1.02875,0.0005908,0.0005908,0.0005908
64,9004.73,0.61928,0.63394,1.03723,0.95257,0.93336,0.96989,0.80751,0.64857,0.35252,1.03096,0.0005842,0.0005842,0.0005842
65,9145.57,0.6229,0.64327,1.0378,0.95422,0.93626,0.97023,0.81304,0.64088,0.34747,1.03282,0.0005776,0.0005776,0.0005776
66,9286.48,0.61573,0.6335,1.04361,0.94372,0.939,0.97008,0.81611,0.62432,0.34861,1.025,0.000571,0.000571,0.000571
67,9427.24,0.62262,0.6471,1.05581,0.95782,0.92794,0.96567,0.81142,0.6378,0.34711,1.03399,0.0005644,0.0005644,0.0005644
68,9567.84,0.62069,0.63499,1.03825,0.9436,0.91348,0.96765,0.81738,0.62493,0.34848,1.01654,0.0005578,0.0005578,0.0005578
69,9708.6,0.62015,0.6412,1.04345,0.94785,0.94617,0.96961,0.81793,0.62792,0.3359,1.02216,0.0005512,0.0005512,0.0005512
70,9849.38,0.61295,0.64024,1.04419,0.96634,0.91549,0.97027,0.81659,0.62344,0.34273,1.01569,0.0005446,0.0005446,0.0005446
71,9989.96,0.61071,0.63919,1.0376,0.9593,0.92309,0.96887,0.81767,0.61873,0.3391,1.01679,0.000538,0.000538,0.000538
72,10130.6,0.62063,0.64105,1.04355,0.95778,0.92715,0.96994,0.81205,0.643,0.34619,1.03293,0.0005314,0.0005314,0.0005314
73,10271.2,0.61738,0.63593,1.04566,0.932,0.93465,0.96816,0.81352,0.62683,0.34507,1.01719,0.0005248,0.0005248,0.0005248
74,10411.8,0.60929,0.61972,1.03381,0.93526,0.93366,0.96915,0.82003,0.62372,0.33527,1.01552,0.0005182,0.0005182,0.0005182
75,10552.8,0.60022,0.60587,1.02557,0.92933,0.93679,0.96432,0.81385,0.6266,0.34575,1.02292,0.0005116,0.0005116,0.0005116
76,10693.2,0.61425,0.61367,1.0367,0.96745,0.9172,0.9715,0.81399,0.62994,0.33585,1.0276,0.000505,0.000505,0.000505
77,10833.3,0.61331,0.61697,1.03144,0.94028,0.93148,0.96816,0.82361,0.61721,0.344,1.01412,0.0004984,0.0004984,0.0004984
78,10974,0.59855,0.60273,1.02486,0.95462,0.93309,0.97156,0.82319,0.616,0.33657,1.01182,0.0004918,0.0004918,0.0004918
79,11115,0.6026,0.60962,1.0313,0.9515,0.93046,0.97158,0.8227,0.61754,0.33199,1.01055,0.0004852,0.0004852,0.0004852
80,11255.4,0.60748,0.60342,1.03276,0.9535,0.93225,0.96907,0.81912,0.62434,0.32945,1.01411,0.0004786,0.0004786,0.0004786
81,11396.1,0.59324,0.59547,1.03569,0.95139,0.95585,0.9711,0.82057,0.62108,0.32485,1.01443,0.000472,0.000472,0.000472
82,11536.7,0.60065,0.60744,1.03037,0.94019,0.94984,0.97097,0.82386,0.61301,0.32999,1.0082,0.0004654,0.0004654,0.0004654
83,11677.7,0.59087,0.59051,1.02101,0.93622,0.94172,0.97089,0.82845,0.60336,0.31438,0.99625,0.0004588,0.0004588,0.0004588
84,11818.9,0.59174,0.60295,1.02247,0.94232,0.93998,0.97055,0.82728,0.61046,0.31931,1.00556,0.0004522,0.0004522,0.0004522
85,11959.5,0.5921,0.58546,1.01941,0.9371,0.94964,0.96949,0.82393,0.60788,0.32522,0.99963,0.0004456,0.0004456,0.0004456
86,12100.4,0.58914,0.5796,1.01811,0.96058,0.94045,0.97281,0.82447,0.60896,0.3179,1.00598,0.000439,0.000439,0.000439
87,12241.3,0.59456,0.57395,1.01496,0.94994,0.94871,0.97162,0.82394,0.61492,0.31947,1.00569,0.0004324,0.0004324,0.0004324
88,12381.8,0.58024,0.5692,1.0144,0.96039,0.93342,0.97178,0.82395,0.61155,0.32026,1.00425,0.0004258,0.0004258,0.0004258
89,12522.1,0.57655,0.56305,1.01761,0.9525,0.9419,0.97215,0.83202,0.60687,0.32064,1.00456,0.0004192,0.0004192,0.0004192
90,12662.9,0.5921,0.58259,1.01572,0.95145,0.94007,0.97246,0.83103,0.60032,0.30871,0.99997,0.0004126,0.0004126,0.0004126
91,12803.6,0.58495,0.56349,1.01642,0.94762,0.95587,0.97258,0.82855,0.60629,0.31764,1.00406,0.000406,0.000406,0.000406
92,12944.3,0.57962,0.56536,1.00895,0.9452,0.95856,0.97133,0.82632,0.61135,0.31025,1.00097,0.0003994,0.0003994,0.0003994
93,13084.9,0.58837,0.58527,1.01282,0.95861,0.93217,0.97125,0.82913,0.60349,0.30676,0.99214,0.0003928,0.0003928,0.0003928
94,13225.6,0.57206,0.57195,1.0107,0.95505,0.93685,0.97328,0.82782,0.60822,0.30779,1.00338,0.0003862,0.0003862,0.0003862
95,13366.3,0.57093,0.55686,1.00962,0.93971,0.9509,0.97414,0.8265,0.60981,0.31422,1.00113,0.0003796,0.0003796,0.0003796
96,13507,0.57212,0.56497,1.00671,0.96356,0.93817,0.97211,0.82976,0.60875,0.3073,1.00076,0.000373,0.000373,0.000373
97,13647.6,0.57634,0.55527,1.00704,0.96169,0.94836,0.97281,0.82886,0.60277,0.30378,0.9933,0.0003664,0.0003664,0.0003664
98,13787.8,0.57254,0.55615,1.0046,0.95487,0.96342,0.97456,0.83123,0.61192,0.30328,1.00269,0.0003598,0.0003598,0.0003598
99,13928.4,0.56873,0.55914,1.0039,0.95046,0.9599,0.97377,0.82737,0.60603,0.30978,0.99905,0.0003532,0.0003532,0.0003532
100,14069.3,0.56805,0.55564,0.99886,0.94703,0.95394,0.97404,0.82791,0.60874,0.30913,0.99798,0.0003466,0.0003466,0.0003466
101,14209.8,0.56147,0.53972,1.00018,0.9405,0.94829,0.97269,0.82969,0.60517,0.30779,0.99827,0.00034,0.00034,0.00034
102,14350.6,0.56704,0.54658,0.99714,0.95277,0.9466,0.97074,0.82387,0.60642,0.31536,1.00281,0.0003334,0.0003334,0.0003334
103,14491.2,0.5663,0.53622,1.00529,0.95045,0.9581,0.97214,0.83067,0.60491,0.30662,1.00291,0.0003268,0.0003268,0.0003268
104,14632,0.55704,0.52638,1.00262,0.95115,0.95386,0.97259,0.82614,0.60001,0.29545,1.00117,0.0003202,0.0003202,0.0003202
105,14772.5,0.56784,0.53951,1.00933,0.95452,0.95918,0.97295,0.83107,0.59341,0.30154,1.00019,0.0003136,0.0003136,0.0003136
106,14912.3,0.56257,0.53138,1.00707,0.95544,0.95366,0.97204,0.82995,0.59819,0.30218,1.00133,0.000307,0.000307,0.000307
107,15052.1,0.56243,0.53864,1.01321,0.95205,0.96201,0.97423,0.83312,0.60129,0.29739,1.00088,0.0003004,0.0003004,0.0003004
108,15192.1,0.55763,0.52775,1.00152,0.96149,0.95513,0.97675,0.83449,0.60057,0.29454,1.00179,0.0002938,0.0002938,0.0002938
109,15332.1,0.56439,0.53845,1.00806,0.95509,0.95783,0.97608,0.83558,0.59598,0.2926,0.99595,0.0002872,0.0002872,0.0002872
110,15472.6,0.54395,0.52462,0.99671,0.96233,0.95559,0.97565,0.8332,0.59719,0.29047,0.99489,0.0002806,0.0002806,0.0002806
111,15613.5,0.55047,0.5217,0.99838,0.95748,0.95817,0.97421,0.83377,0.58923,0.29072,0.99393,0.000274,0.000274,0.000274
112,15753.9,0.56252,0.52726,1.00082,0.95844,0.95777,0.97464,0.82877,0.59775,0.29977,1.00142,0.0002674,0.0002674,0.0002674
113,15894.5,0.55345,0.5119,1.00067,0.95631,0.95974,0.97801,0.83553,0.59221,0.28794,0.99429,0.0002608,0.0002608,0.0002608
114,16035,0.54695,0.51553,0.9937,0.95956,0.95864,0.97536,0.83187,0.59427,0.28802,0.9948,0.0002542,0.0002542,0.0002542
115,16175.5,0.54748,0.50932,0.99416,0.96065,0.95373,0.97702,0.83108,0.59905,0.29105,0.9995,0.0002476,0.0002476,0.0002476
116,16315.5,0.54451,0.50482,0.98966,0.96068,0.9553,0.97542,0.83174,0.59241,0.2897,0.99596,0.000241,0.000241,0.000241
117,16455.6,0.54627,0.49195,0.99229,0.96003,0.95051,0.9762,0.83351,0.59011,0.28533,0.99057,0.0002344,0.0002344,0.0002344
118,16595.4,0.54589,0.50342,0.9878,0.95626,0.96203,0.9771,0.83454,0.59405,0.28475,0.99188,0.0002278,0.0002278,0.0002278
119,16735.3,0.54743,0.50573,0.98561,0.95826,0.96564,0.97874,0.83432,0.59627,0.28524,0.99362,0.0002212,0.0002212,0.0002212
120,16875.2,0.53664,0.49297,0.98804,0.95876,0.96544,0.97758,0.83514,0.59485,0.28191,0.99478,0.0002146,0.0002146,0.0002146
121,17015.5,0.53416,0.49783,0.99229,0.9607,0.96595,0.97784,0.83298,0.59087,0.27989,0.99066,0.000208,0.000208,0.000208
122,17156.3,0.53813,0.49441,0.99059,0.95257,0.96196,0.97732,0.83176,0.58957,0.27995,0.99052,0.0002014,0.0002014,0.0002014
123,17296.9,0.53255,0.4893,0.98334,0.95891,0.9686,0.97867,0.83715,0.58523,0.27792,0.98924,0.0001948,0.0001948,0.0001948
124,17437.9,0.53707,0.48872,0.99193,0.95682,0.96519,0.97729,0.83251,0.58878,0.27964,0.99426,0.0001882,0.0001882,0.0001882
125,17578.3,0.53562,0.49417,0.99409,0.95366,0.96519,0.97589,0.83409,0.58894,0.27839,0.99503,0.0001816,0.0001816,0.0001816
126,17718.7,0.53466,0.49739,0.9886,0.95457,0.9666,0.97548,0.83583,0.59074,0.28439,0.99433,0.000175,0.000175,0.000175
127,17859.2,0.52934,0.49629,0.9889,0.96205,0.96326,0.97717,0.83492,0.59402,0.28234,0.99444,0.0001684,0.0001684,0.0001684
128,17999.8,0.5338,0.49712,0.98373,0.96039,0.96556,0.97542,0.83198,0.59848,0.28359,0.99572,0.0001618,0.0001618,0.0001618
129,18139.7,0.52633,0.47671,0.97694,0.96032,0.965,0.97489,0.83147,0.59463,0.28265,0.99234,0.0001552,0.0001552,0.0001552
130,18279.2,0.52562,0.48046,0.98101,0.96136,0.9671,0.97604,0.83443,0.59058,0.28067,0.98886,0.0001486,0.0001486,0.0001486
131,18418.7,0.52522,0.4804,0.97837,0.96373,0.96083,0.97717,0.83377,0.58874,0.27779,0.98646,0.000142,0.000142,0.000142
132,18558.7,0.52459,0.48372,0.98076,0.96271,0.961,0.97704,0.83597,0.58592,0.27836,0.98477,0.0001354,0.0001354,0.0001354
133,18698.8,0.51828,0.47401,0.97425,0.96328,0.9621,0.97715,0.83706,0.58303,0.27748,0.9877,0.0001288,0.0001288,0.0001288
134,18839.3,0.51685,0.47549,0.97379,0.95771,0.96346,0.97694,0.83834,0.5847,0.27839,0.98684,0.0001222,0.0001222,0.0001222
135,18980.2,0.50974,0.47375,0.97411,0.9557,0.96312,0.97738,0.83727,0.58171,0.27642,0.98716,0.0001156,0.0001156,0.0001156
136,19121.6,0.47988,0.27962,0.97289,0.95493,0.96102,0.97559,0.83518,0.58373,0.27976,0.98852,0.000109,0.000109,0.000109
137,19262.2,0.46769,0.26201,0.96935,0.95774,0.96291,0.97652,0.83163,0.58849,0.27937,0.99238,0.0001024,0.0001024,0.0001024
138,19402.7,0.47535,0.27277,0.96488,0.95862,0.96168,0.97477,0.83191,0.58929,0.28309,0.99572,9.58e-05,9.58e-05,9.58e-05
139,19543,0.46984,0.26253,0.96993,0.95917,0.96359,0.9755,0.83587,0.5866,0.28239,0.99684,8.92e-05,8.92e-05,8.92e-05
140,19683.7,0.46586,0.25641,0.96729,0.95566,0.96437,0.97556,0.83644,0.58518,0.28002,0.99766,8.26e-05,8.26e-05,8.26e-05
141,19824.2,0.46647,0.25816,0.96877,0.95911,0.96292,0.97598,0.83518,0.58494,0.27992,0.9966,7.6e-05,7.6e-05,7.6e-05
142,19964.9,0.46656,0.25762,0.97158,0.96063,0.96299,0.97596,0.83734,0.58491,0.28028,0.99479,6.94e-05,6.94e-05,6.94e-05
143,20105.5,0.46616,0.25448,0.96526,0.96005,0.96399,0.97615,0.83731,0.58295,0.27869,0.99325,6.28e-05,6.28e-05,6.28e-05
144,20245.9,0.46186,0.25153,0.95912,0.95712,0.96561,0.97555,0.8382,0.58168,0.27544,0.99237,5.62e-05,5.62e-05,5.62e-05
145,20386.3,0.46146,0.25736,0.96302,0.95775,0.9645,0.97469,0.83723,0.57936,0.275,0.99147,4.96e-05,4.96e-05,4.96e-05
146,20526.7,0.46389,0.24806,0.96731,0.9591,0.96406,0.97367,0.8347,0.57887,0.27446,0.99123,4.3e-05,4.3e-05,4.3e-05
147,20667.1,0.45684,0.24566,0.95884,0.95841,0.96535,0.97433,0.83514,0.57998,0.27502,0.99247,3.64e-05,3.64e-05,3.64e-05
148,20807.5,0.45915,0.25224,0.96229,0.95688,0.96516,0.97359,0.83349,0.58116,0.27415,0.99248,2.98e-05,2.98e-05,2.98e-05
149,20948,0.46102,0.24741,0.96756,0.95799,0.96479,0.97335,0.83473,0.5803,0.27534,0.99146,2.32e-05,2.32e-05,2.32e-05
150,21088.3,0.45577,0.24705,0.96188,0.95758,0.96652,0.97366,0.83417,0.58009,0.27341,0.99172,1.66e-05,1.66e-05,1.66e-05
